date,type,subType,value
20240221-225414,slowHeadTilting,left,1
20240221-225414,slowHeadTilting,left,-1
20240221-225415,slowHeadTilting,right,1
20240221-225416,slowHeadTilting,right,-1
20240221-225417,slowHeadTilting,forward,1
20240221-225417,slowHeadTilting,forward,-1
20240221-225418,slowHeadTilting,left,1
20240221-225423,slowHeadTilting,left,-1
20240221-225435,slowHeadTilting,left,1
20240221-225435,slowHeadTilting,left,-1
20240221-225437,slowHeadTilting,forward,1
20240221-225437,slowHeadTilting,forward,-1
20240221-225447,slowHeadTilting,right,1
20240221-225450,slowHeadTilting,right,-1
20240221-225450,slowHeadTilting,right,1
20240221-225450,slowHeadTilting,right,-1
20240221-225454,slowHeadTilting,right,1

